key,label,request_type,module,issuetype,status,summary
NXT-66961,general-product,,PE Insights,Story,Story Refinement/Efforting,WS - Insights - LM - Integrate Site License from SC
NXT-66962,general-product,,System,Story,Future Merge,LMA - Insights Site Licenses
NXT-66963,general-product,,PE Insights,Story,Story Refinement/Efforting,SC - WS - Insights - Waste - Days from Production Records
NXT-66965,general-product,,Financials,Story,New,Add Financial Oversight Module to License Management
NXT-66966,general-product,,Financials,Story,New,Financial Oversight Module Navigation Entry
NXT-66974,general-product,,Catering,Enhancement,Done Done,Catering - Sign Up/Forgot Password - List of items to refresh look and feel
NXT-66979,general-product,,Catering,Enhancement,Done Done,Catering - Back-end Checklist
NXT-67003,general-product,,Financials,Story,New,Create financial periods as an option for period management
NXT-67005,general-product,,Financials,Story,New,Page 4: Smart Mapping
NXT-67058,general-product,,SCTV,Story,Release Merge,Align Category Checkboxes Across All Meal Types During Device Linking
NXT-67060,dropped-ignore,,System,Story,Done Done,"Ignore, old (SC - MT - Central Screen)"
NXT-67061,dropped-ignore,,System,Story,Done Done,"Ignore, Old (SC - MT - Central - Link Users to Districts)"
NXT-67080,general-product,,Platform - Data Exchange,Story,Done Done,Performance & Recommendations - Sprint 9.5
NXT-67229,general-product,,Global Catalog,Story,Future Merge,"GC > Item Catalog in PE> Add columns for Nutrients, Allergens , Meal Credits, and Stock Item Info in the results grid and display the Y/N value for each item in the grid. "
NXT-67236,general-product,,Catering,Enhancement,Done Done,Catering - Accounts - List of items to refresh look and feel
NXT-67239,general-product,,Global Catalog,Story,Future Merge,"GC - PE - Item Catalog in PE - When viewing an item, display the meal contribution values. "
NXT-67245,general-product,,Global Catalog,Story,Ready For Testing,GC> Item Catalog in PE >Item search by uploading a file with GTIN/Product Code/Vendor Item# information and preferred name 
NXT-67247,general-product,,Global Catalog,Story,In Progress,GC>Item Catalog in PE> Viewing/exporting/importing matched items after searching for items by uploading the file with preferred name
NXT-67249,general-product,,Global Catalog,Story,Testing,GC> ItemCatalog for PE> Export to excel button for reviewing and making corrections to the file for menu planning only districts
NXT-67290,general-product,,Platform - Data Exchange,Story,Done Done,Publish React Vendor Files to Azure Cloud and Serve via FrontDoor
NXT-67304,general-product,,Platform - Data Exchange,Story,Pull Request,Optimize Nginx Route Configuration and Apply Performance Enhancements
NXT-67337,general-product,,Global Catalog,Story,Future Merge,"GC > Upload Items in SC > Add columns for Nutrients, Allergens , Meal Credits, and Stock Item Info in the results grid and display the Y/N value for each item in the grid."
NXT-67338,general-product,,Global Catalog,Story,Testing,GC> Upload Items SC>Item search by uploading a file with GTIN/Product Code/Vendor Item# information and preferred name
NXT-67339,general-product,,Global Catalog,Story,Release Merge, GC>Item upload in SC> Viewing/exporting/importing matched items after searching for items by uploading the file with preferred name
NXT-67340,general-product,,Catering,Enhancement,Done Done,Catering - Framework-Level Changes (2)
NXT-67373,general-product,,System,Story,Done Done,Financials Module Creation
NXT-67401,general-product,,System,Story,Future Merge,LMA - License Keys - View License
NXT-67402,general-product,,System,Story,Future Merge,LMA - License Keys - Limit Characters in Notes Fields
NXT-67403,general-product,,System,Story,Done Done,LMA - Settings - Toggle
NXT-67404,general-product,,Item Management,Story,Done Done,USDA- Corrections for 2025 Submission
NXT-67405,general-product,,Accountability,Story,Done Done,Acc - Edit Checks - Updates for CACFP and CEP
NXT-67407,general-product,,Account Management,Story,Done Done,Elig - Apps - Controls for Automatic Pending Apps
NXT-67408,general-product,,Accountability,Story,New,Acc - Claims - Creation Workflow
NXT-67409,general-product,,Accountability,Story,Story Refinement/Efforting,Acc - Claims - Page Updates
NXT-67410,general-product,,Accountability,Story,Ready for Development,Acc - Claims - Texas CACFP Claim Format
NXT-67437,general-product,,Accountability,Story,Done Done,ACC - Attendance Feature - System Setting for Attendance Tie-ins
NXT-67451,general-product,,Insights,Story,Done Done,Insights - PE - MPLH 
NXT-67452,general-product,,Insights,Story,Done Done,Insights - PE - Paid Not Applied (PNA)
NXT-67453,general-product,,Insights,Story,Done Done,Insights - PE - Eligible Not Participating (ENP)
NXT-67454,general-product,,Insights,Story,Done Done,Insights - SC - MPLH
NXT-67455,general-product,,Insights,Story,Done Done,Insights - SC - Paid Not Applied (PNA)
NXT-67456,general-product,,Insights,Story,Done Done,Insights - SC - Eligible Not Participating (ENP)
NXT-67459,general-product,,Inventory,Story,Story Refinement/Efforting,PE Inventory: FSMC enablement- Physical Inventory Status page
NXT-67460,general-product,,Inventory,Story,Story Refinement/Efforting,PE Inventory: FSMC enablement - Inventory Valuation Report
NXT-67461,general-product,,Inventory,Story,Story Refinement/Efforting,PE Inventory: FSMC enablement - Item inventory report in central realm
NXT-67462,general-product,,Inventory,Story,New,PE Inventory: FSMC enablement - Usage report in central realm 
NXT-67463,general-product,,Inventory,Story,New,PE Inventory: FSMC enablement -Physical inventory Discrepancy report 
NXT-67464,general-product,,Insights,Story,Story Refinement/Efforting,Insights Dashboard - Inventory Value Card 
NXT-67465,general-product,,Insights,Story,Story Refinement/Efforting,Insights Dashboard - Inventory value Slide out 
NXT-67466,general-product,,Insights,Story,Story Refinement/Efforting,Insights Dashboard - Card for Inventory Turnover rate 
