key,class,issuetype,module,effort_band,story_points,cycle_days,comments,sprints,summary
NXT-72038,dev,Story,SCTV,S,,0,1,0,SCTV - Support Spanish Language Display on SchoolCafe TV Boards
NXT-72790,dev,Story,Item Management,S,,0,0,1,IM - Item Config - Menu Item Categories - allow Cybersoft categories to be disab
NXT-73278,dev,Enhancement,Accountability,S,,0,1,1,Acc-Wadena- Deer Creek Public Schools - Edit Check notation question
NXT-70265,dev,Task,Account Management,M,3.0,0,9,1,Acct Mgmt - ID Cards - Update the template html code to generate a bar code 
NXT-67479,dev,Story,Financials,S,,0,0,0,Tullahoma Financials enhancements
NXT-68250,dev,Enhancement,Menu Planning,S,,0,0,0,Texas City - Snack Pre-K Meal pattern and CACFP
NXT-63839,migration,Bug,System,S,,0,1,0,Regression | CR | PDF reports are not being distributed in the migration environ
NXT-63858,migration,Bug,System,S,,0,1,0,Regression Bug - UAT & Migration Env - We are getting 500 Error when we try to u
NXT-63936,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.0 Release
NXT-63967,migration,Task,Item Management,S,,0,0,1,BO - Migration Smoke Testing(9.3)
NXT-64136,migration,Task,Platform - Data Exchange,M,,0,3,8,Brownwood Migration Findings
NXT-64653,migration,Task,Menu Planning,S,,0,0,1,"Migration - Navigation and basic functionalities check on menu planning, product"
NXT-64705,migration,Task,Menu Planning,S,,0,0,1,"QA, UAT & Migration - Worked on multiple tasks in all environments"
NXT-64989,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.3 Release
NXT-65175,migration,Task,Menu Planning,S,,0,0,1,Tried to replicate the PCS-4297 observation in UAT and Migration Environment
NXT-65733,migration,Task,Platform - Data Exchange,S,,0,4,1,Anchorage School District Migration
NXT-65769,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.4 Release
NXT-65775,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.5 Release
NXT-65781,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.6 Release
NXT-65787,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.11 Release
NXT-65793,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.7 and 9.8 Release
NXT-65800,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.9 Release
NXT-65808,migration,Task,Eligibility,S,,0,2,1,Testing in Migration Environment - 9.10 Release
NXT-66001,migration,Task,Menu Planning,S,,0,0,1,Recipe Onboarding  - Testing in Migration and Staging env
NXT-66331,migration,Story,Accountability,M,5.0,37,5,1,ACC - Attendance Feature - Migration
NXT-66443,migration,Story,Family Hub,L,5.0,241,31,1,Family Hub - WoodForest migration
NXT-66990,migration,Task,Item Management,S,,0,0,1,BO - Migration/Production Smoke Testing(9.4)
NXT-67042,migration,Task,Global Catalog,S,,0,0,7,"Migration environment testing for GC Portal, SC and PE."
NXT-67372,migration,Task,Item Management,S,,0,0,1,Remove Duplicate Units in production created during migration
NXT-67438,migration,Task,Platform - Data Exchange,S,,0,3,1,Anchorage District Migration - BO
NXT-67621,migration,Story,Platform - Data Exchange,M,8.0,0,0,12,District Migration-Anchorage School District-BO Migration
NXT-67663,migration,Task,Item Management,S,,0,0,1,BO - Migration/Production Smoke Testing(9.5)
NXT-68139,migration,Bug,Production,S,,7,3,1,Planner AI - Planner AI > Menu Analysis API calls are throwing 404 error in Migr
NXT-68325,migration,Task,Item Management,S,,0,0,1,BO - Migration/Production Smoke Testing(9.6)
NXT-68632,migration,Story,Platform - Data Exchange,S,,0,0,3,District Migration-Mankato Area Public Schools ISD 77
NXT-68762,migration,Task,Item Management,S,,0,0,1,BO - Migration/Production Smoke Testing(9.8)
NXT-69511,migration,Task,Item Management,S,,0,0,1,BO - Migration Smoke Testing(9.10)
NXT-69805,migration,Story,Platform - Data Exchange,S,,0,1,7,District Migration-Inventory Module Migration
NXT-69850,migration,Story,Platform - Data Exchange,S,,0,0,2,District Migration-Mankato Area Public Schools ISD 77
NXT-70116,migration,Task,Family Hub,S,,0,0,1,Data Migration Testing - Mankato School ISD (Family Hub)
NXT-70120,migration,Bug,Menu Planning,M,,21,8,2,Mankato District Migration - Multiple Observations
NXT-70188,migration,Task,Menu Planning,S,,0,0,1,District Migration Testing 
NXT-70196,migration,Task,Item Management,S,,0,0,1,BO - District Migration Testing
NXT-70267,migration,Task,Eligibility,S,,0,1,1,Updating the UAT and Migration Environments for the Latest Eligibility UI compon
NXT-70518,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.12 Release
NXT-70524,migration,Task,Eligibility,S,,0,0,1,Testing in Migration Environment - 9.13 Release
NXT-70627,migration,Task,Item Management,S,,0,0,1,BO - Migration Smoke Testing(9.11)
NXT-70754,migration,Story,Platform - Data Exchange,S,,0,1,3,District Migration  - Post Migration Mankato Findings
NXT-71223,migration,Story,Platform - Data Exchange,S,,0,2,5,District Migration - Washburn
NXT-71276,migration,Task,Item Management,S,,0,0,1,BO - Migration Smoke Testing(9.12)
